id	merge_region	merge_len	num_region	eccdna_status	numreads	totalbase	coverage	consensus_len	consensus_status
ec1	18:25819246-25822603_-	3358	1	cyclic	2	18266	5.44	3360	Insertion
ec2	3:171106231-171108854_-	2624	1	cyclic	1	15222	5.80	2624	No_indel
ec3	13:23871871-23873349_-	1479	1	cyclic	1	17602	11.90	1485	Insertion
ec4	4:48535941-48536401_-	461	1	cyclic	2	9587	20.80	460	Deletion
ec5	3:108210676-108211687_+	1012	1	cyclic	1	5122	5.06	1011	Deletion
ec6	11:27918879-27920458_-	1580	1	cyclic	1	12378	7.83	1580	No_indel
ec7	1:165675090-165676775_-	1686	1	cyclic	1	26460	15.69	1685	Deletion
ec8	8:12954217-12958762_-	4546	1	cyclic	2	22539	4.96	4550	Insertion
ec9	3:75949988-75963884_-	13897	1	cyclic	4	44009	3.17	13910	Insertion
ec10	X:33030488-33030800_-	313	1	cyclic	2	23374	74.68	312	Deletion
ec11	10:102766823-102768403_-	1581	1	cyclic	1	15539	9.83	1581	No_indel
ec12	12:44339193-44341467_+	2275	1	cyclic	1	13569	5.96	2280	Insertion
ec13	3:16636994-16642341_-	5348	1	cyclic	2	27924	5.22	5350	Insertion
ec14	7:91279528-91281453_-	1926	1	cyclic	2	21281	11.05	1926	No_indel
ec15	3:185725727-185727918_+	2192	1	cyclic	3	16235	7.41	2192	No_indel
ec16	3:11436255-11438467_+	2213	1	cyclic	1	17430	7.88	2214	Insertion
ec17	3:114763176-114766014_-	2839	1	cyclic	1	16689	5.88	2840	Insertion
ec18	6:141554784-141557265_+	2482	1	cyclic	1	19761	7.96	2484	Insertion
ec19	19:9493517-9493994_-	478	1	cyclic	1	15832	33.12	479	Insertion
ec20	2:191257968-191260962_+	2995	1	cyclic	1	17296	5.77	3002	Insertion
ec21	2:88419134-88420531_+	1398	1	cyclic	1	13687	9.79	1399	Insertion
ec22	7:148661972-148663212_-	1241	1	cyclic	1	9855	7.94	1243	Insertion
ec23	15:93999559-94002306_+	2748	1	cyclic	1	18977	6.91	2749	Insertion
ec24	7:132829399-132831396_-	1998	1	cyclic	3	20163	10.09	1998	No_indel
ec25	14:22563505-22568393_+	4889	1	cyclic	4	24652	5.04	4896	Insertion
ec26	10:48100273-48104961_-	4689	1	cyclic	3	34079	7.27	4700	Insertion
